epoch,loss,mae,mse
0,3188.22705078125,45.66560363769531,3188.22705078125
1,3127.276123046875,44.92512512207031,3127.276123046875
2,3154.677001953125,45.52191162109375,3154.677001953125
3,3176.801025390625,44.8967399597168,3176.801025390625
4,3193.919921875,45.28202438354492,3193.919921875
5,3078.951171875,44.40522384643555,3078.951171875
6,3106.4228515625,45.109378814697266,3106.4228515625
7,3090.887939453125,44.629302978515625,3090.887939453125
8,3089.754638671875,44.348575592041016,3089.754638671875
9,3095.168701171875,44.688987731933594,3095.168701171875
